citation_key,citation_count,manual_bibitem_present,proposal_sample_fragment_present,status
Amershi2019,1,true,false,cited_and_manual
Aumann1976,1,true,true,cited_and_manual
Bienefeld2023,0,true,false,manual_unused
BrennanClark1996,1,true,false,cited_and_manual
CannonBowers1993,1,true,false,cited_and_manual
Clark1996,1,true,true,cited_and_manual
ClarkBrennan1991,1,true,true,cited_and_manual
ClarkMarshall1981,0,true,false,manual_unused
DourishBellotti1992,1,true,false,cited_and_manual
FrankGoodman2012,1,true,false,cited_and_manual
GoodmanFrank2016,1,true,false,cited_and_manual
Grice1975,1,true,true,cited_and_manual
Gualdoni2024,1,true,false,cited_and_manual
HortonKeysar1996,1,true,false,cited_and_manual
Hutchins1995,1,true,false,cited_and_manual
Kennedy2007,1,true,false,cited_and_manual
Keysar2000,1,true,false,cited_and_manual
Keysar2007,1,true,false,cited_and_manual
Klein2005,1,true,false,cited_and_manual
Kosinski2024,1,true,false,cited_and_manual
Leech1983,1,true,true,cited_and_manual
Lewis1969,1,true,false,cited_and_manual
Liu2023,0,true,false,manual_unused
Miller2019,1,true,true,cited_and_manual
PickeringGarrod2004,1,true,false,cited_and_manual
Rabinowitz2018,1,true,false,cited_and_manual
Rubinstein1989,1,true,false,cited_and_manual
Salas2005,1,true,false,cited_and_manual
Sap2022,1,true,false,cited_and_manual
Schegloff1977,1,true,true,cited_and_manual
Schelling1960,1,true,false,cited_and_manual
Stalnaker2002,1,true,false,cited_and_manual
Suchman1987,1,true,false,cited_and_manual
Thomas2014,1,true,true,cited_and_manual
Ullman2023,1,true,false,cited_and_manual
Wegner1987,1,true,false,cited_and_manual
Yao2023,0,true,false,manual_unused
Zhou2023,0,true,false,manual_unused
